Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,ID,Home Ownership_Have Mortgage,Home Ownership_Home Mortgage,Home Ownership_Own Home,Home Ownership_Rent,Years in current job_0,Years in current job_1,Years in current job_2,Years in current job_3,Years in current job_4,Years in current job_5,Years in current job_6,Years in current job_7,Years in current job_8,Years in current job_9,Years in current job_10
1168386,10,0,9,22,159808,2,24,2,0,1,296516,28994,18306,0,1,678,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1702989,10,0,17,16,585134,0,14,0,1,1,394372,440154,41156,692,0,679,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1412745,10,0,15,19,1595352,0,14,0,1,1,548548,730246,18366,659,1,680,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1512077,6,0,10,17,1107304,0,27,0,1,0,179564,767923,25227,743,0,681,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1168386,10,0,10,20,369336,0,43,0,1,0,263780,221046,20970,0,1,682,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2100640,8,0,10,15,746614,0,11,0,1,0,247742,183122,21532,749,0,683,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
875102,2,0,6,15,259446,1,62,1,0,0,99999999,40774,9188,746,0,684,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2817510,2,0,6,15,86988,0,14,0,0,0,178354,23826,5048,748,0,685,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
862866,0,0,14,9,904860,0,14,0,1,0,159852,242250,9060,723,1,686,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
793212,10,0,8,13,476784,0,14,0,1,0,43736,379639,21417,694,1,687,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
950665,0,0,15,15,1082796,0,14,0,1,0,99999999,492822,22658,744,0,688,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1168386,10,0,21,26,658922,1,14,1,1,0,177540,381273,22666,0,0,689,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1977254,4,0,7,14,628430,0,14,0,1,0,99999999,518301,43005,737,0,690,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
921576,9,0,22,15,1745942,0,14,0,1,0,472406,481004,11059,740,0,691,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1398134,10,0,11,21,772574,0,21,0,1,1,719202,504412,36351,682,0,692,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5605950,1,0,12,23,976074,0,9,0,1,0,757306,654987,36532,719,0,693,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1042397,10,0,12,17,424864,1,77,1,1,0,99999999,207309,13986,729,0,694,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1330931,10,0,8,27,504548,0,37,0,1,0,484330,243143,6976,651,0,695,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1303628,10,0,15,19,747846,0,69,0,1,1,99999999,426911,15426,699,0,696,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
658426,10,0,11,20,206800,0,28,0,1,0,170456,141094,6913,728,0,697,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2088328,10,0,8,34,142912,1,11,1,1,0,219824,83676,9763,739,0,698,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,2,0,12,15,628650,1,14,0,1,0,315524,260053,21588,0,0,699,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1168386,0,0,10,12,867680,0,14,0,1,1,546326,596486,15589,0,0,700,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1021402,8,0,7,14,62172,0,29,0,0,0,321332,760,5567,733,0,701,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
964136,8,0,6,17,85624,0,33,0,0,0,162228,67279,4789,689,0,702,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1397070,10,0,11,39,1440560,0,14,0,0,0,99999999,271225,14087,748,0,703,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,1,0,8,15,153802,0,14,0,1,0,219780,55917,11831,0,1,704,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1681272,6,0,8,13,837122,0,14,0,1,0,305712,308712,31804,746,0,705,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
575016,10,0,14,29,383812,0,14,0,1,0,199738,274132,11788,708,0,706,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1840245,10,0,12,22,924044,1,14,0,1,0,263604,467647,20396,747,0,707,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,4,0,8,18,198088,1,14,1,1,0,112464,89300,12416,0,0,708,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2901585,7,0,16,37,577368,0,14,0,1,0,447964,272745,28774,737,0,709,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1168386,10,0,20,48,465190,0,46,0,1,0,102410,85576,4974,0,1,710,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2332440,9,0,3,13,1462076,0,14,0,1,1,486134,558106,14131,689,0,711,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2633400,10,0,8,28,507672,0,14,0,1,0,99999999,153026,26202,742,0,712,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1016044,10,0,23,35,2079154,0,34,0,1,1,516340,933736,18966,720,0,713,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
707161,7,0,7,9,311872,0,14,0,1,1,246774,211983,17738,687,1,714,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
951805,7,0,13,11,255838,0,46,0,1,1,392348,174097,17450,593,1,715,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2186368,3,0,7,14,519486,0,14,0,1,1,763840,344565,28605,716,0,716,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
330429,10,0,3,20,104148,0,14,0,1,0,63734,67184,2029,686,1,717,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1345162,6,0,13,10,730048,0,14,0,0,1,529562,308940,6479,611,1,718,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
663841,4,0,7,8,103774,0,14,0,1,0,99396,85234,10068,714,0,719,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2501616,10,0,8,16,1053800,0,12,0,1,1,713020,797240,16281,700,0,720,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1718360,8,0,9,13,1876732,0,14,0,1,0,99999999,914147,27494,747,0,721,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1168386,1,0,17,22,556798,1,14,1,1,1,336644,242839,25196,0,1,722,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
712557,6,0,9,18,200706,0,54,0,1,1,356796,159296,11995,664,1,723,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1168386,5,0,9,35,833316,0,24,0,1,0,217822,173451,5916,0,0,724,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
559398,10,0,11,11,187990,0,14,0,1,0,99999999,102448,3412,740,0,725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1537024,10,0,9,19,939906,0,10,0,0,0,222464,3249,13833,726,0,726,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2105656,7,0,11,17,1109614,0,14,0,1,0,435380,307610,48957,750,0,727,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1510215,10,0,15,26,680086,1,16,1,1,0,248270,312474,21143,721,0,728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
990660,5,0,6,14,401544,0,14,0,1,0,330902,272935,11805,740,1,729,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
844398,0,0,14,12,682594,0,14,0,1,0,99999999,353704,16536,734,0,730,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1751097,3,0,15,15,1358016,0,14,0,1,1,763070,534812,25537,728,0,731,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
558999,4,0,15,20,1246102,0,14,0,1,0,99999999,83942,12801,751,0,732,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
858211,10,0,13,29,221694,0,58,0,1,0,85976,22021,16950,699,0,733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
874323,0,0,6,9,488290,0,14,0,1,0,179982,200716,7432,706,0,734,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1168386,5,0,8,12,457072,0,39,0,1,0,289652,264480,9525,0,0,735,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1613062,1,0,25,21,456698,2,14,2,1,1,316426,242573,15190,659,1,736,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1869980,10,0,10,23,407044,0,36,0,1,0,142912,124450,16362,750,0,737,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1527296,7,0,11,15,748792,0,8,0,1,0,99999999,254790,6644,746,0,738,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1168386,10,0,8,7,610500,0,14,0,1,1,646866,316863,31952,0,0,739,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2506917,10,0,16,21,1720620,0,14,0,0,0,99999999,1124895,37604,712,0,740,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
771932,1,0,17,20,739970,0,23,0,0,0,67034,432649,14731,698,0,741,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1212276,2,0,9,15,520652,0,37,0,1,1,401676,281941,28792,689,1,742,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1168386,2,0,9,20,203984,0,23,0,1,0,177276,127376,15507,0,0,743,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1168386,10,0,14,21,1210726,0,14,0,1,1,646800,617956,28023,0,1,744,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
957562,10,0,9,22,450626,1,78,1,1,0,347842,182913,18034,719,0,745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
414447,7,0,6,11,174548,1,14,0,0,0,139612,99180,8323,733,1,746,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1112640,2,0,12,22,95150,0,12,0,0,0,53680,4769,11497,741,0,747,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
539714,5,0,6,31,62480,0,24,0,1,0,86196,43377,4151,728,1,748,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1168386,5,0,16,12,390896,0,14,0,1,0,194436,193781,16543,0,0,749,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
812041,10,0,7,16,268862,0,14,0,1,1,335808,89642,2396,693,0,750,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
675716,5,0,14,41,188342,0,13,0,1,1,315744,150784,9285,648,1,751,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1168386,4,0,5,9,219252,0,14,0,1,0,265826,172311,7477,0,1,752,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1225006,3,0,12,15,802582,0,14,0,1,1,521532,464398,26746,705,1,753,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2325828,2,0,12,17,403502,3,14,3,1,0,336644,88521,12269,735,1,754,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1128258,1,0,8,10,341924,0,14,0,1,0,119746,285570,29429,732,1,755,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1224455,2,0,9,22,1012286,0,14,0,1,0,278168,450243,18367,746,1,756,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1168386,4,0,8,11,526350,1,66,1,1,0,331320,90915,4829,0,0,757,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1168386,10,0,11,20,866844,0,15,0,1,1,551980,459667,30626,0,0,758,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
893855,3,0,9,23,716166,0,33,0,1,0,194062,263473,16909,736,0,759,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1168386,10,0,14,26,938278,0,26,0,0,0,153252,100472,20800,0,0,760,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
628748,9,0,11,12,392348,0,76,0,1,1,286726,197543,19596,693,1,761,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
576954,1,0,9,25,999790,0,14,0,1,0,224356,259027,17741,738,0,762,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1516200,2,0,8,13,443366,0,14,0,1,0,219450,274170,21227,738,1,763,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1976988,2,0,7,18,596882,0,14,0,1,0,660330,406714,13608,733,0,764,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
660022,1,0,17,26,161590,0,48,0,1,0,262020,115121,8635,698,1,765,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1452246,10,0,18,34,533478,1,35,1,0,0,281578,206416,23720,716,0,766,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
874418,1,0,4,9,357874,0,14,0,1,0,224994,232427,13408,712,1,767,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
950285,2,0,9,12,490710,0,14,0,1,0,121044,137731,14809,748,0,768,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
859959,1,0,4,21,561748,0,14,0,1,1,437030,227050,6787,657,0,769,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2271241,6,0,16,37,757350,0,14,0,1,0,539462,590634,43911,734,0,770,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
775276,0,0,7,34,181764,0,16,0,1,0,224422,124013,20609,739,1,771,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1168386,10,0,8,16,694562,0,14,0,1,1,492118,448077,16048,0,1,772,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
610679,1,0,16,20,294030,0,9,0,0,0,145838,115292,9160,738,1,773,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
794276,8,0,6,18,684002,0,14,0,1,0,99999999,219165,4918,748,0,774,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1606279,2,0,9,16,477158,0,33,0,1,0,262570,257963,25031,742,0,775,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
868509,10,0,19,31,857912,0,17,0,0,0,134090,253384,24246,726,0,776,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
561165,7,0,9,20,237094,1,14,1,1,0,108306,126749,4620,725,0,777,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
653695,5,0,6,17,157608,1,14,1,1,0,108130,29260,1193,745,0,778,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1014144,10,0,6,18,322608,0,19,0,1,1,99999999,268033,19100,651,0,779,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
867749,10,0,2,16,0,0,66,0,0,0,75350,0,0,704,0,780,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2817852,6,0,9,19,1094302,0,14,0,1,1,348722,787246,30057,715,0,781,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1654729,10,0,11,13,628980,0,14,0,1,1,99999999,362881,18202,724,0,782,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1783663,10,0,10,17,762168,0,60,0,0,1,296318,215232,28241,684,1,783,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1821283,3,0,14,18,1378080,0,14,0,0,1,669834,403465,20489,712,1,784,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1266179,10,0,12,17,1067044,0,32,0,1,0,547096,510530,24817,709,0,785,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1168386,1,0,4,24,804386,0,25,0,1,1,392942,86146,1243,0,0,786,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1168386,2,0,11,8,532158,0,16,0,1,0,181742,179246,11273,0,0,787,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1168386,6,0,12,12,343464,0,29,0,1,0,219098,106495,11910,0,1,788,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1298973,10,0,10,17,199210,1,14,1,1,0,221188,116470,20242,729,0,789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
960260,6,0,8,16,255838,1,42,1,1,0,175670,140087,9603,716,0,790,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1300664,10,0,10,15,1021064,0,53,0,1,1,99999999,436506,10600,715,0,791,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,10,0,13,14,1219570,0,12,0,1,0,128414,412870,8685,0,0,792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,10,0,12,45,319968,0,8,0,1,0,152394,81244,19426,0,1,793,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1228464,7,0,9,14,553674,0,14,0,1,0,545446,299820,34294,737,0,794,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1011731,9,0,9,11,574552,0,14,0,1,1,517396,383553,24788,675,0,795,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1615608,6,0,11,18,1071378,0,14,0,1,1,464904,469129,25177,700,0,796,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1080948,5,0,13,15,930314,0,14,0,0,0,153714,487692,20466,707,0,797,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1168386,10,0,12,16,1241350,0,14,0,1,1,259886,707560,31963,0,0,798,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1168386,7,0,13,9,1183842,0,1,0,1,0,341726,223896,25082,0,1,799,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1168386,7,0,15,24,1126708,0,14,0,1,0,519024,871872,38328,0,0,800,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1376474,9,0,5,10,327822,0,14,0,1,0,199232,219127,4783,738,0,801,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1181895,3,0,14,39,372152,1,14,1,1,0,220726,186409,21077,738,0,802,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1168386,10,0,6,10,60808,1,45,0,0,0,91146,21793,8997,0,0,803,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1168386,8,0,11,10,479204,0,14,0,1,1,311564,390260,15708,0,1,804,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1168386,2,0,7,15,580822,0,14,0,1,0,167684,147972,10676,0,0,805,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1130310,3,0,12,22,547514,1,14,1,1,1,463518,326268,15937,698,0,806,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1505864,10,0,6,20,146124,0,33,0,1,1,348722,101080,10641,691,0,807,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
582065,3,0,11,11,868230,0,60,0,1,1,302434,449901,9701,706,0,808,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1168386,10,0,12,20,887150,0,14,0,1,0,434632,359328,24962,0,0,809,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
478363,1,0,5,11,260744,0,14,0,1,0,133694,146148,8810,744,0,810,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1458877,10,0,12,21,264462,1,1,1,1,0,216568,87476,10236,719,0,811,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,0,0,20,13,2074204,0,14,0,1,0,390896,711170,19856,0,1,812,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1047242,1,0,7,9,415228,0,14,0,1,0,247016,242421,12741,748,0,813,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1168386,2,0,18,14,2541088,0,14,0,1,0,470690,1768824,40954,0,1,814,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1168386,2,0,13,11,318384,1,14,0,1,0,129712,110808,13257,0,0,815,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2813140,0,0,20,17,1264340,0,14,0,1,0,561616,310099,32820,748,0,816,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1168386,7,0,6,14,280016,1,14,1,1,0,109406,98914,2777,0,0,817,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
866115,7,0,16,14,561726,0,14,0,1,1,353232,326496,20642,695,1,818,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1968153,10,0,6,24,930644,0,36,0,1,0,442508,338371,16893,742,0,819,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1227476,10,0,12,14,696872,0,14,0,1,1,508926,523602,22299,718,1,820,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1268155,7,0,14,37,800008,0,76,0,1,0,438328,411084,16909,743,0,821,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1423575,10,1,7,32,345268,1,37,0,1,1,672408,175636,7011,703,1,822,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1168386,10,0,16,34,852258,1,14,1,1,0,265848,305463,9417,0,0,823,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1096680,9,0,14,25,1348446,0,14,0,1,1,449504,347035,26229,745,0,824,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1546239,10,0,11,15,590832,0,14,0,1,0,200574,417411,11378,665,0,825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1134300,5,0,13,12,429110,0,14,0,1,1,328350,311676,24482,726,1,826,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1168386,5,0,13,23,214698,0,14,0,1,1,546876,141094,24643,0,1,827,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1318828,2,0,10,13,305580,0,14,0,0,1,99999999,52250,11199,685,0,828,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1168386,0,0,10,11,1037938,0,14,0,1,0,417450,493924,25055,0,0,829,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
486400,0,0,5,10,184008,0,14,0,1,0,99999999,106001,3518,728,0,830,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1445520,5,0,11,15,975128,0,14,0,1,1,446336,397499,16623,732,0,831,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1410180,10,0,11,16,594506,0,10,0,0,1,544280,414865,23973,631,0,832,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
734844,4,0,7,11,188100,0,14,0,1,0,286616,151392,13827,738,1,833,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2139989,1,0,8,18,299926,1,14,1,1,0,99999999,152836,9684,723,0,834,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1728715,6,0,15,17,1145694,0,32,0,1,0,215930,300808,7722,743,0,835,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
811490,7,0,14,21,679712,0,26,0,1,0,99999999,283537,18664,745,0,836,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5131482,2,0,16,20,4860504,0,16,0,1,0,756228,2833451,44473,737,0,837,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1311380,4,0,7,27,550902,0,14,0,1,1,364430,452485,36719,717,0,838,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
923951,5,0,10,13,557348,0,30,0,1,0,334334,234897,12396,734,1,839,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
932615,0,0,21,9,367356,0,14,0,1,1,259160,273790,20051,730,1,840,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1122387,5,0,9,22,425744,0,14,0,1,0,336116,277970,7913,718,0,841,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1168386,6,0,12,14,1633742,0,39,0,1,0,224488,421876,49115,0,0,842,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
969095,4,0,25,11,628694,0,8,0,1,0,224422,38000,21724,719,0,843,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
845861,10,0,7,28,335390,1,14,1,1,0,255992,21717,1924,738,0,844,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,2,0,8,24,251130,2,56,2,1,1,266288,31445,12443,0,0,845,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1549944,3,0,12,16,785158,0,43,0,1,0,201718,563502,26220,722,0,846,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1006506,0,0,12,11,464024,0,14,0,1,1,431640,310175,28685,708,1,847,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1693565,4,0,13,20,1709048,0,17,0,1,0,99999999,842802,41210,746,0,848,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1168386,4,0,14,15,181214,1,14,1,1,0,78826,88426,7164,0,0,849,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1194131,10,0,14,25,541684,0,65,0,1,0,267608,373787,19504,732,0,850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,4,0,9,10,786302,0,14,0,1,0,156552,133779,23942,0,0,851,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1252784,2,0,12,22,559438,0,33,0,1,0,290114,192774,24221,745,0,852,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1168386,10,0,12,9,821458,0,3,0,1,1,240306,343368,23719,0,0,853,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1001281,2,0,6,31,682110,0,33,0,1,0,128810,484253,13267,722,1,854,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1407976,10,0,12,25,1156034,0,14,0,0,0,75086,770754,18233,746,0,855,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1019749,0,0,19,15,203588,0,21,0,1,0,99999999,47481,7597,738,0,856,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1854419,2,0,16,17,917774,0,14,0,1,0,774774,199747,29053,743,1,857,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
929955,0,0,6,9,256410,0,40,0,1,1,429638,175826,8370,710,0,858,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1936290,1,0,14,24,777524,0,14,0,1,1,627770,402895,38080,708,0,859,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3926046,3,0,8,13,349492,0,18,0,1,0,470272,280098,18093,742,0,860,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
701803,10,0,9,22,355718,1,58,1,1,0,219626,191710,15674,743,0,861,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1791472,4,0,6,9,181192,0,80,0,0,0,148478,97793,7674,704,1,862,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1160862,1,0,8,12,571098,0,14,0,1,0,537658,407892,15575,739,0,863,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1260840,8,0,8,11,254210,0,14,0,1,0,271568,148846,10475,743,0,864,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1219933,10,0,12,19,1382282,0,14,0,1,1,543290,790286,31413,735,1,865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1168386,10,0,7,17,312818,0,26,0,1,0,368016,195871,13860,0,0,866,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1312577,5,0,11,11,730730,0,14,0,1,0,587004,321214,21986,723,0,867,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1343300,10,0,19,32,811646,0,6,0,0,0,177760,188556,18918,693,1,868,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1168386,6,0,6,10,400180,0,14,0,1,0,602316,284791,26567,0,0,869,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
307743,10,0,4,13,276034,0,48,0,1,0,140162,163058,5693,718,0,870,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
524761,1,0,8,18,546766,0,14,0,1,0,218636,339530,8090,690,1,871,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
787873,2,0,23,22,1794518,0,14,0,1,0,99999999,158080,12343,750,0,872,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
700758,3,0,13,25,1432090,0,14,0,1,0,99999999,259730,14482,751,0,873,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
